bin#,im,mafe,top_failure_prob,delta_mafe,bin_risk
1,0.01414213562373095,0.048639592925928156,1.0658076877425802e-23,0.03,3.197423063227741e-25
2,0.03162277660168379,0.019322525714823104,3.0229223524883717e-17,0.025500000000000002,7.708451998845348e-19
3,0.07071067811865477,0.005849444418062283,6.807770725475354e-12,0.0071099999999999965,4.840324985812975e-14
4,0.14142135623730953,0.0016253830317805092,3.688886758915065e-08,0.0024870000000000014,9.174261369421771e-11
5,0.2449489742783178,0.0004956995057491989,9.01771060658009e-06,0.0004969999999999997,4.481802171470302e-09
6,0.458257569495584,0.0001019358155557807,0.0011803607132718056,0.00027390000000000004,3.233007993651476e-07
7,1.1832159566199232,7.129493918043023e-06,0.12469432168002587,3.058000000000002e-05,3.813152356975194e-06
8,2.449489742783178,8.103332647744391e-07,0.6167959237117653,1.0880000000000004e-06,6.710739649984009e-07
9,3.872983346207417,1.909471130967943e-07,0.8867364006764945,3.475999999999999e-07,3.082295728751494e-07
10,7.0710678118654755,2.714428116565259e-08,0.991981044789025,7.566999999999991e-08,7.506320565918544e-08
